,평균기온,최고기온,최저기온,평균운량,일강수량,대여율,Normalized 대여율,Normalized 최고기온
2021-04-26,16.2,20.6,12.3,4.5,0.0,301.4567901234568,0.6765869526152279,0.5643835616438356
2021-04-27,15.4,20.0,12.5,9.4,1.7,256.68888888888887,0.5739978207002391,0.547945205479452
2021-04-28,14.5,18.2,11.2,7.9,4.7,284.8888888888889,0.6386203167347153,0.4986301369863014
2021-04-29,14.6,20.1,10.9,7.6,3.9,261.59012345679014,0.5852293813891837,0.5506849315068494
2021-04-30,11.3,14.6,8.6,9.5,26.3,205.34567901234567,0.45634085698945226,0.39999999999999997
2021-05-01,10.2,15.3,8.5,9.4,8.0,101.53827160493827,0.21845809906269933,0.4191780821917808
2021-05-02,12.4,18.7,7.3,2.6,1.7,285.16543209876545,0.6392540370355524,0.5123287671232877
2021-05-03,14.1,20.3,8.4,3.8,0.0,302.20493827160493,0.6783013923576713,0.5561643835616439
2021-05-04,13.8,15.8,11.4,9.6,19.6,59.42962962962963,0.12196286682629655,0.4328767123287671
2021-05-05,13.9,18.4,10.3,2.6,0.1,309.1679012345679,0.6942575642180357,0.5041095890410958
2021-05-06,15.7,23.1,7.9,4.8,0.0,300.39506172839504,0.6741539193173708,0.6328767123287672
2021-05-07,14.4,17.2,10.7,3.1,8.8,217.52345679012345,0.4842471830941748,0.4712328767123288
2021-05-08,14.3,21.0,8.9,1.1,0.0,182.49876543209876,0.40398537534975276,0.5753424657534246
2021-05-09,15.7,21.8,10.0,0.3,0.0,283.5827160493827,0.635627119956654,0.5972602739726027
2021-05-10,13.2,14.6,11.7,8.4,0.0,231.6395061728395,0.5165952095217293,0.39999999999999997
2021-05-11,18.5,25.7,9.4,6.0,0.0,321.76296296296294,0.7231201289909858,0.7041095890410959
2021-05-12,22.0,27.7,16.9,4.5,0.0,321.5925925925926,0.7227297120199344,0.7589041095890411
2021-05-13,22.9,29.6,16.6,0.0,0.0,316.7851851851852,0.7117131635759167,0.810958904109589
2021-05-14,24.1,30.8,18.0,7.1,0.0,316.6395061728395,0.7113793287745829,0.8438356164383561
2021-05-15,22.1,26.2,20.8,9.8,15.0,89.09135802469136,0.1899350273080549,0.7178082191780821
